receipt_no;store_code;cashier_id;sale_datetime;sku;qty;unit_price;discount_pct;payment_type
R-0036141;ST-003;E-0115;19.01.2026 15:36;SKU-00307;3;98300,00;;TRANSFER
R-0036240;ST-008;E-0140;19.01.2026 10:37;SKU-00361;1;33800,00;5;CASH
R-0036105;ST-002;E-0108;19.01.2026 11:33;SKU-00335;1;51400,00;5;CARD
R-0036166;ST-005;E-0125;2026-01-19 18:56:32;SKU-00117;1;70200,00;;CASH
R-0036182;ST-006;E-0129;2026-01-19 12:07:24;SKU-00481;1;85800,00;0;CASH
R-0036273;ST-009;E-0144;19.01.2026 19:31;SKU-00312;5;44700,00;;CASH
R-0036114;ST-002;E-0109;2026-01-19 10:00:02;SKU-00027;1;100600,00;0;CARD
R-0036158;ST-004;E-0118;19.01.2026 13:59;SKU-00398;1;15300,00;0;CARD
R-0036247;ST-008;E-0138;19.01.2026 13:35;SKU-00101;2;59300,00;;CARD
R-0036280;ST-009;E-0144;19.01.2026 20:56;SKU-00475;2;56900,00;;CARD
R-0036068;ST-001;E-0105;19.01.2026 20:45;SKU-00060;1;33200,00;;CARD
R-0036298;ST-010;E-0149;2026-01-19 18:00:20;SKU-00445;1;37300,00;;CASH
R-0036312;ST-011;E-0153;2026-01-19 18:04:42;SKU-00473;3;62200,00;;TRANSFER
R-0036237;ST-008;E-0134;19.01.2026 13:16;SKU-00414;1;45100,00;5;CARD
R-0036263;ST-009;E-0145;2026-01-19 12:35:49;SKU-00349;3;73800,00;5;CARD
R-0036079;ST-001;E-0103;19.01.2026 14:12;SKU-00064;1;22200.00;;CASH
R-0036345;ST-012;E-0160;19.01.2026 11:46;SKU-00259;1;53600,00;0;CASH
R-0036252;ST-008;E-0140;2026-01-19 20:57:46;SKU-00100;1;126800,00;;CASH
R-0036113;ST-002;E-0109;19.01.2026 17:34; sku-00464 ;8;108000,00;;CASH
R-0036189;ST-006;E-0130;19.01.2026 15:43;SKU-00278;4;7500,00;0;CARD
R-0036127;ST-003;E-0115;19.01.2026 18:27;SKU-00239;1;23000,00;;TRANSFER
R-0036188;ST-006;E-0130;19.01.2026 17:10;SKU-00204;1;7800,00;0;CASH
R-0036136;ST-003;E-0114;19.01.2026 15:13;SKU-00390;1;89600,00;15;CARD
R-0036319;ST-011;E-0155;19.01.2026 11:53;SKU-00117;1;70200,00;;CASH
R-0036095;ST-001;E-0103;19.01.2026 19:58;SKU-00307;1;98300,00;5;CASH
R-0036226;ST-007;E-0124;19.01.2026 19:39;SKU-00152;1;74000,00;5;TRANSFER
R-0036098;ST-001;E-0103;2026-01-19 18:41:13;SKU-00021;1;81900,00;0;TRANSFER
R-0036192;ST-006;E-0130;19.01.2026 13:37;SKU-00181;1;16200,00;;TRANSFER
R-0036171;ST-005;E-0123;19.01.2026 11:19;SKU-00258;1;58200,00;20;CASH
R-0036311;ST-011;E-0154;19.01.2026 17:38;SKU-00209;1;15900,00;0;CASH
R-0036326;ST-012;E-0159;19.01.2026 17:12;SKU-00331;2;45600,00;;CASH
R-0036321;ST-011;E-0154;19.01.2026 11:36;SKU-00177;2;99700,00;10;CASH
R-0036347;ST-012;E-0158;19.01.2026 20:20;SKU-00033;1;137400,00;0;CARD
R-0036130;ST-003;E-0114;2026-01-19 19:15:38;SKU-00030;1;120800,00;;CASH
R-0036124;ST-003;E-0113;19.01.2026 17:03;SKU-00279;2;52200,00;;CASH
R-0036340;ST-012;E-0160;19.01.2026 14:36;SKU-00011;3;;;CARD
R-0036323;ST-011;E-0153;19.01.2026 19:08;SKU-00343;2;40300,00;0;CARD
R-0036094;ST-001;E-0104;19.01.2026 13:06;SKU-00433;8;84800,00;;CARD
R-0036244;ST-008;E-0138;19.01.2026 19:44;SKU-00376;1;76500,00;;CARD
R-0036245;ST-008;E-0138;19.01.2026 10:11;SKU-00384;1;29900,00;0;CASH
R-0036322;ST-011;E-0153;19.01.2026 09:06;SKU-00075;2;113440,00;0;CARD
R-0036226;ST-007;E-0134;19.01.2026 19:39;SKU-00110;3;;;TRANSFER
R-0036069;ST-001;E-0103;19.01.2026 10:55;SKU-00144;1;47800,00;;CARD
R-0036128;ST-003;E-0113;2026-01-19 20:59:05;SKU-00137;3;61400,00;;CARD
R-0036119;ST-003;E-0113;19.01.2026 13:24;SKU-00391;2;yo'q;20;CARD
R-0036224;ST-007;E-0133;19.01.2026 18:54;SKU-00271;4;82800,00;;CARD
R-0036107;ST-002;E-0109;19.01.2026 20:04;SKU-00416;1;35600.00;10;CASH
R-0036234;ST-008;E-0139;19.01.2026 12:28;SKU-00263;1;39800,00;0;CARD
R-0036140;ST-003;E-0115;2026-01-19 10:31:34;SKU-00491;2;84400,00;;CASH
R-0036281;ST-009;E-0144;19.01.2026 20:19;SKU-00320;1;119100,00;;CARD
R-0036092;ST-001;E-0104;19.01.2026 12:16;SKU-00423;1;118800,00;;TRANSFER
R-0036324;ST-011;E-0155;2026-01-19 17:46:52;SKU-00370;2;66200,00;5;CASH
R-0036210;ST-007;E-0134;19.01.2026 11:51;SKU-00372;1;17500,00;10;CASH
R-0036143;ST-004;E-0118;19.01.2026 16:35;SKU-00056;8;39700,00;;CASH
R-0036262;ST-009;E-0144;19.01.2026 09:51;SKU-00160;1;228480,00;5;CARD
R-0036286;ST-010;E-0150;19.01.2026 12:34;SKU-00317;1;57400,00;15;CARD
R-0036159;ST-004;E-0120;19.01.2026 13:25;SKU-00142;1;45300,00;;CARD
R-0036218;ST-007;E-0133;19.01.2026 18:42;SKU-00034;2;141400,00;0;CASH
R-0036080;ST-001;E-0103;19.01.2026 15:32;SKU-00292;2;63500,00;;CARD
R-0036158;ST-004;E-0118;2026-01-19 13:59:50;SKU-00344;1;9900.00;;CARD
R-0036330;ST-012;E-0158;19.01.2026 20:24;SKU-00456;1;110300,00;;CASH
R-0036232;ST-008;E-0138;19.01.2026 14:53;SKU-00208;1;29100,00;;CARD
R-0036314;ST-011;E-0154;19.01.2026 20:04;SKU-00025;2;21600,00;15;CASH
R-0036150;ST-004;E-0118;2026-01-19 17:53:58;SKU-00329;4;15000,00;;CARD
R-0036203;ST-006;E-0128;19.01.2026 18:32;SKU-00358;3;8500,00;10;CARD
R-0036162;ST-005;E-0123;19.01.2026 10:14;SKU-00076;1;55600.00;;CARD
R-0036224;ST-007;E-0133;2026-01-19 18:54:46;SKU-00198;1;35200,00;;CARD
R-0036111;ST-002;E-0110;19.01.2026 20:19;SKU-00115;2;115100,00;;CARD
R-0036098;ST-001;E-0103;19.01.2026 18:41;SKU-00269;1;47200,00;5;TRANSFER
R-0036102;ST-002;E-0110;19.01.2026 13:32;SKU-00071;1;23100,00;;TRANSFER
R-0036170;ST-005;E-0124;2026-01-19 20:58:21;SKU-00094;2;68300,00;10;CARD
R-0036072;ST-001;E-0105;2026-01-19 18:32:04;SKU-00177;5;99700,00;;CASH
R-0036175;ST-005;E-0125;19.01.2026 16:27;SKU-00099;4;108400,00;10;CARD
R-0036295;ST-010;E-0148;19.01.2026 16:50;SKU-00053;1;38200,00;;CARD
R-0036094;ST-001;E-0104;19.01.2026 13:06;SKU-00012;3;82800,00;;CARD
R-0036323;ST-011;E-0153;2026-01-19 19:08:34;SKU-00068;1;68500,00;0;CARD
R-0036138;ST-003;E-0113;19.01.2026 13:20;SKU-00328;1;;10;CASH
R-0036306;ST-011;E-0155;19.01.2026 09:53;SKU-00318;2;34900,00;5;TRANSFER
R-0036165;ST-005;E-0125;2026-01-19 11:14:12;SKU-00185;2;23600,00;0;CASH
R-0036236;ST-008;E-0140;2026-01-19 15:37:49;SKU-00179;1;108100,00;;TRANSFER
R-0036282;ST-009;E-0144;19.01.2026 13:30;SKU-00289;1;16500,00;;CASH
R-0036293;ST-010;E-0149;19.01.2026 11:45;SKU-00365;1;64200,00;0;CARD
R-0036332;ST-012;E-0158;2026-01-19 15:20:11;SKU-00153;1;146600,00;112;CASH
R-0036252;ST-008;E-0140;19.01.2026 20:57;SKU-00448;5;172400,00;;CASH
R-0036116;ST-002;E-0109;19.01.2026 12:19;SKU-00317;1;57400,00;0;CASH
R-0036324;ST-011;E-0155;19.01.2026 17:46;SKU-00441;2;114000,00;0;CASH
R-0036325;ST-011;E-0154;2026-01-19 12:41:39;SKU-00159;1;25600,00;0;CARD
R-0036148;ST-004;E-0118;2026-01-19 12:57:39;SKU-00062;1;62600,00;;CASH
R-0036085;ST-001;E-0104;2026-01-19 13:15:35;SKU-00095;1;112700,00;5;CASH
R-0036084;ST-001;E-0103;19.01.2026 18:21;SKU-00343;1;40300,00;10;CASH
R-0036189;ST-006;E-0130;2026-01-19 15:43:10;SKU-00349;2;73800,00;0;CARD
R-0036186;ST-006;E-0129;19.01.2026 16:43;SKU-00374;1;28400,00;15;CARD
R-0036148;ST-004;E-0118;19.01.2026 12:57;SKU-00273;2;58600,00;;CASH
R-0036116;ST-002;E-0109;2026-01-19 12:19:11;SKU-00241;2;56500,00;;CASH
R-0036250;ST-008;E-0140;19.01.2026 09:51;SKU-00457;2;159900,00;;CARD
R-0036146;ST-004;E-0119;19.01.2026 17:10;SKU-00395;4;57400,00;;CARD
R-0036196;ST-006;E-0129;2026-01-19 15:19:25;SKU-00342;1;22000,00;10;CASH
R-0036279;ST-009;E-0145;2026-01-19 16:17:37;SKU-00336;4;69900,00;;CASH
R-0036321;ST-011;E-0154;19.01.2026 11:36;SKU-00247;2;153800,00;;CASH
R-0036204;ST-006;E-0129;19.01.2026 15:46;SKU-00185;1;23600,00;0;CASH
R-0036304;ST-010;E-0149;19.01.2026 14:11; sku-00137 ;2;61400,00;;CASH
R-0036195;ST-006;E-0128;19.01.2026 13:22;SKU-00464;1;108000,00;5;CASH
R-0036140;ST-003;E-0115;19.01.2026 10:31;SKU-00207;5;24300,00;;CASH
R-0036217;ST-007;E-0135;19.01.2026 12:32;SKU-00120;5;137600,00;15;CASH
R-0036245;ST-008;E-0138;19.01.2026 10:11;SKU-00440;2;145000,00;5;CASH
R-0036166;ST-005;E-0125;2026-01-19 18:56:32;SKU-00325;2;179600,00;5;CASH
R-0036105;ST-002;E-0108;19.01.2026 11:33;SKU-00107;3;43000,00;5;CARD
R-0036296;ST-010;E-0149;19.01.2026 18:27;SKU-00134;1;36300,00;0;CARD
R-0036089;ST-001;E-0104;19.01.2026 18:40;SKU-00207;3;24300,00;0;CARD
R-0036121;ST-003;E-0114;19.01.2026 12:10;SKU-00281;1;39500,00;0;CARD
R-0036110;ST-002;E-0110;19.01.2026 20:19;SKU-00130;2;119600,00;;CASH
R-0036256;ST-009;E-0144;19.01.2026 09:34;SKU-00018;3;79000,00;10;TRANSFER
R-0036320;ST-011;E-0153;19.01.2026 09:18;SKU-00329;1;15000,00;;CASH
R-0036169;ST-005;E-0124;19.01.2026 17:13;SKU-00060;1;53120,00;0;CASH
R-0036326;ST-012;E-0159;19.01.2026 17:12;SKU-00147;1;75400,00;20;CASH
R-0036242;ST-008;E-0139;19.01.2026 19:49;SKU-00387;1;66700,00;;CARD
R-0036281;ST-009;E-0144;2026-01-19 20:19:50;SKU-00369;1;50900,00;;CARD
R-0036315;ST-011;E-0154;19.01.2026 12:58;SKU-00354;1;80300,00;20;CASH
R-0036339;ST-012;E-0159;19.01.2026 11:19;SKU-00408;3;n/a;;CASH
R-0036082;ST-001;E-0105;19.01.2026 16:08;SKU-00403;1;89500,00;10;TRANSFER
R-0036104;ST-002;E-0110;2026-01-19 20:34:21;SKU-00262;3;32800,00;;CARD
R-0036305;ST-010;E-0150;19.01.2026 15:25;SKU-00287;3;51100,00;0;CASH
R-0036175;ST-005;E-0125;2026-01-19 16:27:24;SKU-00483;1;11200,00;20;CARD
R-0036217;ST-007;E-0135;19.01.2026 12:32;SKU-00329;1;15000,00;0;CASH
R-0036110;ST-002;E-0110;19.01.2026 20:19;SKU-00425;4;88600,00;0;CASH
R-0036338;ST-012;E-0158;2026-01-19 09:38:33;SKU-00296;1;35700,00;;CASH
R-0036111;ST-002;E-0110;19.01.2026 20:19;SKU-00075;1;70900,00;0;CARD
R-0036288;ST-010;E-0148;19.01.2026 20:30;SKU-00422;3;45200,00;0;CASH
R-0036126;ST-003;E-0113;19.01.2026 16:10;SKU-00002;1;67400,00;;CASH
R-0036308;ST-011;E-0154;19.01.2026 16:27;SKU-00348;2;5000,00;;CARD
R-0036095;ST-001;E-0109;2026-01-19 19:58:57;SKU-00098;4;68300,00;;CASH
R-0036146;ST-004;E-0119;2026-01-19 17:10:58;SKU-00193;5;28800,00;;CARD
R-0036185;ST-006;E-0130;19.01.2026 09:16;SKU-00346;3;14400,00;;CASH
R-0036165;ST-005;E-0125;2026-01-19 11:14:12;SKU-00308;1;77000,00;5;CASH
R-0036197;ST-006;E-0128;19.01.2026 16:01;SKU-00332;4;10900,00;;TRANSFER
R-0036185;ST-006;E-0130;19.01.2026 09:16;SKU-00292;3;101600,00;;CASH
R-0036155;ST-004;E-0119;2026-01-19 09:37:13;SKU-00060;5;33200,00;;TRANSFER
R-0036135;ST-003;E-0115;19.01.2026 09:16;SKU-00340;1;51400,00;10;CARD
R-0036310;ST-011;E-0155;19.01.2026 17:54;SKU-00074;1;20000,00;;CARD
R-0036135;ST-003;E-0115;2026-01-19 09:16:56;SKU-00085;4;128900,00;5;CARD
R-0036250;ST-008;E-0140;19.01.2026 09:51;SKU-00405;1;77900,00;;CARD
R-0036101;ST-002;E-0108;2026-01-19 20:43:34;SKU-00148;3;84000.00;0;CARD
R-0036299;ST-010;E-0149;19.01.2026 14:44;SKU-00263;3;39800,00;20;CASH
R-0036286;ST-010;E-0114;2026-01-19 12:34:34;SKU-00276;3;34300,00;;CARD
R-0036343;ST-012;E-0158;19.01.2026 12:35;SKU-00010;3;25500,00;10;CASH
R-0036317;ST-011;E-0153;19.01.2026 19:28;SKU-00282;5;28900,00;15;CASH
R-0036125;ST-003;E-0114;19.01.2026 15:50;SKU-00483;1;11200,00;;CARD
R-0036241;ST-008;E-0139;2026-01-19 20:19:37;SKU-00399;1;yo'q;5;TRANSFER
R-0036304;ST-010;E-0149;2026-01-19 14:11:23;SKU-00392;1;53300,00;5;CASH
R-0036182;ST-006;E-0129;2026-01-19 12:07:24;SKU-00096;1;68900,00;;CASH
R-0036227;ST-007;E-0135;19.01.2026 13:58;SKU-00495;5;36800,00;;CASH
R-0036164;ST-005;E-0124;2026-01-19 10:49:48;SKU-00496;1;97800,00;10;CASH
R-0036305;ST-010;E-0150;2026-01-19 15:25:58;SKU-00499;1;43700,00;0;CASH
R-0036324;ST-011;E-0155;19.01.2026 17:46;SKU-00187;5;11900,00;0;CASH
R-0036346;ST-012;E-0158;19.01.2026 09:00;SKU-00987;1;120800,00;;CARD
R-0036101;ST-002;E-0108;19.01.2026 20:43;SKU-00058;2;7400,00;0;CARD
R-0036162;ST-005;E-0123;19.01.2026 10:14;SKU-00277;1;63300,00;5;CARD
R-0036316;ST-011;E-0153;19.01.2026 20:14;SKU-00343;2;40300,00;0;CASH
R-0036328;ST-012;E-0158;19.01.2026 20:24;SKU-00081;1;86300,00;15;CARD
R-0036289;ST-010;E-0150;19.01.2026 18:29;SKU-00019;3;116300,00;0;CARD
R-0036113;ST-002;E-0109;19.01.2026 17:34;SKU-00175;2;130100,00;;CASH
R-0036279;ST-009;E-0145;2026-01-19 16:17:37;SKU-00447;1;9800,00;;CASH
R-0036333;ST-012;E-0158;2026-01-19 14:40:59;SKU-00360;1;38800,00;;TRANSFER
R-0036211;ST-007;E-0134;19.01.2026 10:43; sku-00244 ;1;99700,00;0;CASH
R-0036076;ST-001;E-0104;2026-01-19 15:58:28;SKU-00115;1;115100,00;;CASH
R-0036270;ST-009;E-0145;19.01.2026 09:54;SKU-00222;1;29700,00;;TRANSFER
R-0036115;ST-002;E-0109;2026-01-19 10:40:28;SKU-00103;2;144500,00;0;CARD
R-0036125;ST-003;E-0114;19.01.2026 15:50;SKU-00443;1;76400,00;;CARD
R-0036156;ST-004;E-0118;19.01.2026 10:35; sku-00158 ;1;138500,00;0;CARD
R-0036289;ST-010;E-0150;2026-01-19 18:29:28;SKU-00468;2;79400,00;0;CARD
R-0036283;ST-009;E-0145;2026-01-19 09:13:16;SKU-00093;1;103800,00;0;CARD
R-0036160;ST-004;E-0120;19.01.2026 20:10;SKU-00354;1;80300,00;5;CARD
R-0036138;ST-003;E-0113;19.01.2026 13:20;SKU-00104;8;101200.00;10;CASH
R-0036196;ST-006;E-0129;19.01.2026 15:19;SKU-00300;2;58000,00;;CASH
R-0036301;ST-010;E-0149;2026-01-19 15:57:21;SKU-00300;2;92800,00;;CASH
R-0036175;ST-005;E-0125;19.01.2026 16:27;SKU-00487;2;39400,00;0;CARD
R-0036337;ST-012;E-0158;2026-01-19 15:09:48;SKU-00062;1;;;CASH
R-0036147;ST-004;E-0118;19.01.2026 16:44;SKU-00051;1;10400,00;;CASH
R-0036096;ST-001;E-0104;19.01.2026 09:54;SKU-00312;1;44700,00;0;CARD
R-0036200;ST-006;E-0129;19.01.2026 17:25;SKU-00207;1;24300,00;0;TRANSFER
R-0036344;ST-012;E-0160;2026-01-19 18:31:19;SKU-00031;1;20300,00;15;TRANSFER
R-0036295;ST-010;E-0148;19.01.2026 16:50;SKU-00027;1;100600,00;15;CARD
R-0036329;ST-012;E-0160;19.01.2026 17:56;SKU-00498;1;157900,00;0;CARD
R-0036250;ST-008;E-0140;19.01.2026 09:51;SKU-00147;8;75400,00;0;CARD
R-0036108;ST-002;E-0109;19.01.2026 19:57;SKU-00464;1;108000,00;;CASH
R-0036175;ST-005;E-0125;2026-01-19 16:27:24;SKU-00094;2;68300,00;15;CARD
R-0036331;ST-012;E-0160;19.01.2026 15:05;SKU-00187;1;yo'q;15;TRANSFER
R-0036230;ST-008;E-0138;19.01.2026 14:37;SKU-00414;1;45100,00;;CASH
R-0036165;ST-005;E-0125;19.01.2026 11:14;SKU-00111;1;57700,00;;CASH
R-0036277;ST-009;E-0145;19.01.2026 16:30;SKU-00092;1;35600.00;10;CARD
R-0036257;ST-009;E-0144;2026-01-19 13:41:55;SKU-00063;3;24200,00;;CARD
R-0036196;ST-006;E-0129;2026-01-19 15:19:25;SKU-00495;1;36800,00;0;CASH
R-0036189;ST-006;E-0130;2026-01-19 15:43:10;SKU-00008;3;41700,00;;CARD
R-0036127;ST-003;E-0115;19.01.2026 18:27;SKU-00425;1;88600,00;5;TRANSFER
R-0036208;ST-006;E-0128;19.01.2026 14:10;SKU-00035;2;53500,00;;CASH
R-0036107;ST-002;E-0109;2026-01-19 20:04:07;SKU-00061;4;71800,00;;CASH
R-0036287;ST-010;E-0150;19.01.2026 20:06;SKU-00272;3;34900,00;0;CARD
R-0036287;ST-010;E-0150;19.01.2026 20:06;SKU-00109;2;45500,00;10;CARD
R-0036344;ST-012;E-0160;19.01.2026 18:31;SKU-00313;2;151900,00;;TRANSFER
R-0036132;ST-003;E-0114;19.01.2026 16:38;SKU-00305;2;32000,00;;CARD
R-0036154;ST-004;E-0119;19.01.2026 12:03;SKU-00274;2;88000,00;;CASH
R-0036327;ST-012;E-0158;19.01.2026 13:18;SKU-00404;2;77200,00;;CARD
R-0036109;ST-002;E-0109;19.01.2026 16:50;SKU-00038;1;81300,00;0;CARD
R-0036244;ST-008;E-0138;19.01.2026 19:44;SKU-00422;1;45200.00;;CARD
R-0036249;ST-008;E-0139;19.01.2026 14:26;SKU-00082;1;115800,00;;CARD
R-0036328;ST-012;E-0158;19.01.2026 20:24;SKU-00173;2;117900,00;;CARD
R-0036243;ST-008;E-0140;2026-01-19 09:03:51;SKU-00128;1;111700,00;10;CARD
R-0036126;ST-003;E-0113;2026-01-19 16:10:48;SKU-00293;1;74200,00;;CASH
