receipt_no;store_code;cashier_id;sale_datetime_raw;sku;qty_raw;unit_price_raw;discount_raw;payment_type
REC-20260715-STORE_01-0001;STORE_01;CASH-06;2026-07-15 18:32:43;SKU-029;4;12000;0;CASH
REC-20260715-STORE_01-0001;STORE_01;CASH-03;2026-07-15 18:32:43;SKU-001;2;5000;1000;CARD
REC-20260715-STORE_01-0001;STORE_01;CASH-07;2026-07-15 18:32:43;SKU-021;3;12000;0;CASH
REC-20260715-STORE_01-0001;STORE_01;CASH-07;2026-07-15 18:32:43;SKU-002;4;12000;0;CASH
REC-20260715-STORE_01-0002;STORE_01;CASH-05;2026-07-15 13:14:17;SKU-002;2;12000;1000;CARD
REC-20260715-STORE_01-0002;STORE_01;CASH-03;2026-07-15 13:14:17;SKU-012;3;25000;0;CASH
REC-20260715-STORE_01-0003;STORE_01;CASH-03;2026-07-15 17:43:22;SKU-021;4;12000;0;CARD
REC-20260715-STORE_01-0003;STORE_01;CASH-01;2026-07-15 17:43:22;SKU-041;4;25000;500;CARD
REC-20260715-STORE_01-0003;STORE_01;CASH-02;2026-07-15 17:43:22;SKU-044;4;5000;0;CARD
REC-20260715-STORE_01-0004;STORE_01;CASH-03;2026-07-15 8:50:16;SKU-003;1;25000;500;CARD
REC-20260715-STORE_01-0004;STORE_01;CASH-09;2026-07-15 8:50:16;SKU-008;4;45000;500;CARD
REC-20260715-STORE_01-0004;STORE_01;CASH-03;2026-07-15 8:50:16;SKU-002;2;12000;1000;CASH
REC-20260715-STORE_01-0004;STORE_01;CASH-03;2026-07-15 8:50:16;SKU-001;4;5000;500;CASH
REC-20260715-STORE_01-0005;STORE_01;CASH-08;2026-07-15 21:44:21;SKU-001;3;5000;0;CASH
REC-20260715-STORE_01-0006;STORE_01;CASH-10;2026-07-15 9:55:57;SKU-003;3;25000;500;CARD
REC-20260715-STORE_01-0006;STORE_01;CASH-04;2026-07-15 9:55:57;SKU-036;1;45000;0;CARD
REC-20260715-STORE_01-0007;STORE_01;CASH-02;2026-07-15 21:53:55;SKU-042;3;25000;500;CASH
REC-20260715-STORE_01-0007;STORE_01;CASH-07;2026-07-15 21:53:55;SKU-001;1;5000;0;CARD
REC-20260715-STORE_01-0007;STORE_01;CASH-05;2026-07-15 21:53:55;SKU-025;1;12000;500;CARD
REC-20260715-STORE_01-0008;STORE_01;CASH-03;2026-07-15 18:32:15;SKU-005;4;25000;0;CARD
REC-20260715-STORE_01-0008;STORE_01;CASH-07;2026-07-15 18:32:15;SKU-002;3;12000;0;CARD
REC-20260715-STORE_01-0008;STORE_01;CASH-07;2026-07-15 18:32:15;SKU-001;3;5000;1000;CARD
REC-20260715-STORE_01-0008;STORE_01;CASH-04;2026-07-15 18:32:15;SKU-011;1;5000;0;CASH
REC-20260715-STORE_01-0008;STORE_01;CASH-01;2026-07-15 18:32:15;SKU-003;3;25000;1000;CASH
REC-20260715-STORE_01-0009;STORE_01;CASH-07;2026-07-15 18:17:44;SKU-001;1;5000;1000;CARD
REC-20260715-STORE_01-0009;STORE_01;CASH-01;2026-07-15 18:17:44;SKU-025;1;12000;500;CARD
REC-20260715-STORE_01-0009;STORE_01;CASH-09;2026-07-15 18:17:44;SKU-005;4;25000;0;CARD
REC-20260715-STORE_01-0010;STORE_01;CASH-07;2026-07-15 15:40:02;SKU-003;4;25000;0;CASH
REC-20260715-STORE_01-0010;STORE_01;CASH-03;2026-07-15 15:40:02;SKU-007;3;45000;0;CASH
REC-20260715-STORE_01-0010;STORE_01;CASH-09;2026-07-15 15:40:02;SKU-017;4;5000;0;CASH
REC-20260715-STORE_01-0010;STORE_01;CASH-10;2026-07-15 15:40:02;SKU-021;2;12000;0;CASH
REC-20260715-STORE_01-0010;STORE_01;CASH-08;2026-07-15 15:40:02;SKU-004;3;45000;0;CASH
REC-20260715-STORE_01-0011;STORE_01;CASH-10;2026-07-15 18:57:03;SKU-007;3;45000;0;CARD
REC-20260715-STORE_01-0011;STORE_01;CASH-06;2026-07-15 18:57:03;SKU-013;4;25000;0;CARD
REC-20260715-STORE_01-0011;STORE_01;CASH-03;2026-07-15 18:57:03;SKU-009;4;5000;0;CARD
REC-20260715-STORE_01-0011;STORE_01;CASH-04;2026-07-15 18:57:03;SKU-004;1;45000;500;CASH
REC-20260715-STORE_01-0011;STORE_01;CASH-03;2026-07-15 18:57:03;SKU-001;4;5000;0;CARD
REC-20260715-STORE_01-0012;STORE_01;CASH-03;2026-07-15 9:26:36;SKU-018;1;45000;0;CASH
REC-20260715-STORE_01-0013;STORE_01;CASH-02;2026-07-15 8:06:57;SKU-006;3;45000;0;CARD
REC-20260715-STORE_01-0013;STORE_01;CASH-04;2026-07-15 8:06:57;SKU-002;1;12000;500;CARD
REC-20260715-STORE_01-0014;STORE_01;CASH-07;2026-07-15 11:44:18;SKU-001;4;5000;1000;CARD
REC-20260715-STORE_01-0015;STORE_01;CASH-01;2026-07-15 9:19:33;SKU-006;2;45000;0;CARD
REC-20260715-STORE_01-0015;STORE_01;CASH-10;2026-07-15 9:19:33;SKU-001;4;5000;0;CARD
REC-20260715-STORE_01-0015;STORE_01;CASH-01;2026-07-15 9:19:33;SKU-012;2;25000;1000;CASH
REC-20260715-STORE_01-0015;STORE_01;CASH-08;2026-07-15 9:19:33;SKU-010;3;45000;0;CASH
REC-20260715-STORE_01-0015;STORE_01;CASH-03;2026-07-15 9:19:33;SKU-015;4;12000;0;CARD
REC-20260715-STORE_01-0016;STORE_01;CASH-07;2026-07-15 13:41:40;SKU-003;4;25000;500;CARD
REC-20260715-STORE_01-0017;STORE_01;CASH-10;2026-07-15 14:55:42;SKU-011;4;5000;0;CASH
REC-20260715-STORE_01-0018;STORE_01;CASH-09;2026-07-15 8:40:56;SKU-003;1;25000;500;CASH
REC-20260715-STORE_01-0019;STORE_01;CASH-07;2026-07-15 21:07:11;SKU-018;2;45000;0;CARD
