inn;supplier_name;country;contract_date
387905761;Baraka Savdo;O'zbekiston;2020-01-01
311558136;Oq Oltin Group;O'zbekiston;2021-02-02
384246935;Zarafshon Trade;O'zbekiston;2022-03-03
329867796;Nur Distribution;O'zbekiston;2023-04-04
349007120;Chinor Logistics;O'zbekiston;2024-05-05
31969206;Farovon Import;O'zbekiston;2020-06-06
310945193;Sharq Yulduzi;O'zbekiston;2021-07-07
380832645;Milla Foods;O'zbekiston;2022-08-08
354139020;Bahor Agro;O'zbekiston;2023-09-09
383961553;Toshkent Oziq;O'zbekiston;2024-10-10
335992467;Vita Plus;O'zbekiston;2020-11-11
393002030;Grand Market;O'zbekiston;2021-12-12
329867796;Dilbar Savdo;Qozog'iston;2022-01-13
326343237;Sof Suv;Turkiya;2023-02-14
389694898;Anhor Trade;Rossiya;2024-03-15
382556145;Turon Import;Xitoy;2020-04-16
366641836;Qadr Distribution;Belarus;2021-05-17
349036687;Yangi Asr;;2022-06-18
326096560;Oltin Vodiy;Ukraina;2023-07-19
351099364;Meros Group;Hindiston;2024-08-20
