return_id;receipt_no;store_code;sku;qty;reason;return_date
RT-000001;R-0036170;ST-005;SKU-00094;1;Qadoq shikastlangan;24.01.2026
RT-000002;R-0039227;ST-009;SKU-00465;2;Qadoq shikastlangan;11.02.2026
RT-000003;R-0045404;ST-002;SKU-00101;1;Sifatsiz mahsulot;07.03.2026
RT-000004;R-0034205;ST-005;SKU-00279;3;Sifatsiz mahsulot;01.02.2026
RT-000005;R-0047882;ST-005;SKU-00421;2;Noto'g'ri tovar berilgan;15.02.2026
RT-000006;R-0048864;ST-006;SKU-00410;1;Kafolat holati;08.03.2026
RT-000007;R-0031048;ST-002;SKU-00007;1;Muddati o'tgan;19.01.2026
RT-000008;R-0034039;ST-011;SKU-00011;1;Kafolat holati;12.01.2026
RT-000009;R-0039618;ST-001;SKU-00345;2;Muddati o'tgan;30.01.2026
RT-000010;R-0038404;ST-012;SKU-00419;1;Noto'g'ri tovar berilgan;27.01.2026
RT-000011;R-0032564;ST-010;SKU-00153;2;Kafolat holati;23.01.2026
RT-000012;R-0046943;ST-001;SKU-00461;1;Noto'g'ri tovar berilgan;09.03.2026
RT-000013;R-0034846;ST-007;SKU-00129;1;Noto'g'ri tovar berilgan;20.01.2026
RT-000014;R-0050872;ST-007;SKU-00177;1;Qadoq shikastlangan;07.03.2026
RT-000015;R-0045036;ST-003;SKU-00157;1;Muddati o'tgan;15.02.2026
RT-000016;R-0030792;ST-006;SKU-00458;2;Sifatsiz mahsulot;04.01.2026
RT-000017;R-0030395;ST-005;SKU-00139;1;Muddati o'tgan;20.01.2026
RT-000018;R-0048977;ST-011;SKU-00255;1;Sifatsiz mahsulot;27.02.2026
RT-000019;R-0048836;ST-005;SKU-00114;5;Noto'g'ri tovar berilgan;15.03.2026
RT-000020;R-0038512;ST-005;SKU-00336;1;Noto'g'ri tovar berilgan;28.01.2026
RT-000021;R-0042140;ST-009;SKU-00372;1;Muddati o'tgan;25.02.2026
RT-000022;R-0042868;ST-008;SKU-00361;1;Noto'g'ri tovar berilgan;09.02.2026
RT-000023;R-0048268;ST-007;SKU-00301;2;Noto'g'ri tovar berilgan;13.03.2026
RT-000024;R-0045449;ST-004;SKU-00187;1;Sifatsiz mahsulot;06.03.2026
RT-000025;R-0032884;ST-011;SKU-00253;3;Qadoq shikastlangan;18.01.2026
RT-000026;R-0048543;ST-006;SKU-00278;2;Xaridor fikri o'zgardi;05.03.2026
RT-000027;R-0036305;;SKU-00480;2;Qadoq shikastlangan;02.02.2026
RT-000028;R-0046314;ST-001;SKU-00297;1;Noto'g'ri tovar berilgan;27.02.2026
RT-000029;R-0044291;ST-003;SKU-00023;1;Sifatsiz mahsulot;01.03.2026
RT-000030;R-0034932;ST-011;SKU-00319;1;Kafolat holati;19.01.2026
RT-000031;R-0035631;ST-011;SKU-00343;1;Muddati o'tgan;02.02.2026
RT-000032;R-0043572;ST-011;SKU-00251;1;Kafolat holati;14.02.2026
RT-000033;R-0041795;ST-007;SKU-00052;1;Sifatsiz mahsulot;07.02.2026
RT-000034;R-0046654;ST-002;SKU-00016;2;Noto'g'ri tovar berilgan;04.03.2026
RT-000035;R-0036045;ST-012;SKU-00344;4;Sifatsiz mahsulot;18.01.2026
RT-000036;R-0048966;ST-010;SKU-00064;1;;13.03.2026
RT-000037;R-0033141;ST-006;SKU-00469;1;Qadoq shikastlangan;24.01.2026
RT-000038;R-0034485;ST-006;SKU-00198;2;Kafolat holati;23.01.2026
RT-000039;R-0034770;ST-004;SKU-00478;2;Noto'g'ri tovar berilgan;24.01.2026
RT-000040;R-0048144;ST-003;SKU-00290;1;Kafolat holati;08.03.2026
RT-000041;R-0038294;ST-009;SKU-00176;3;Sifatsiz mahsulot;08.02.2026
RT-000042;R-0046130;ST-005;SKU-00031;3;Noto'g'ri tovar berilgan;04.03.2026
RT-000043;R-0031456;ST-003;SKU-00378;1;Muddati o'tgan;11.01.2026
RT-000044;R-0045319;ST-011;SKU-00395;1;Kafolat holati;07.03.2026
RT-000045;R-0049132;ST-005;SKU-00115;1;Noto'g'ri tovar berilgan;16.03.2026
RT-000046;R-0034222;ST-006;SKU-00224;1;Muddati o'tgan;31.01.2026
RT-000047;R-0035920;ST-008;SKU-00074;4;Sifatsiz mahsulot;26.01.2026
RT-000048;R-0031931;ST-009;SKU-00472;1;Sifatsiz mahsulot;29.12.2025
RT-000049;R-0043317;ST-001;SKU-00042;1;Kafolat holati;11.02.2026
RT-000050;R-0033919;ST-007;SKU-00010;2;Qadoq shikastlangan;20.01.2026
RT-000051;R-0044539;ST-001;SKU-00347;1;Sifatsiz mahsulot;24.02.2026
RT-000052;R-0040867;ST-006;SKU-00419;2;Noto'g'ri tovar berilgan;30.01.2026
RT-000053;R-0030510;ST-009;SKU-00015;1;Kafolat holati;09.01.2026
RT-000054;R-0032293;ST-011;SKU-00014;1;Noto'g'ri tovar berilgan;07.01.2026
RT-000055;R-0050800;ST-004;SKU-00160;1;Qadoq shikastlangan;14.03.2026
RT-000056;R-0047662;ST-010;SKU-00184;2;Kafolat holati;27.02.2026
RT-000057;R-0045096;ST-005;SKU-00343;2;;15.02.2026
RT-000058;R-0048801;ST-004;SKU-00321;2;Qadoq shikastlangan;06.03.2026
RT-000059;R-0043106;ST-004;SKU-00388;1;Sifatsiz mahsulot;13.02.2026
RT-000060;R-0051110;ST-004;SKU-00344;1;Noto'g'ri tovar berilgan;11.03.2026
RT-000061;R-0040281;ST-012;SKU-00183;1;Muddati o'tgan;06.02.2026
RT-000062;R-0049458;ST-005;SKU-00008;1;Noto'g'ri tovar berilgan;20.03.2026
RT-000063;R-0035627;ST-011;SKU-00397;2;Xaridor fikri o'zgardi;23.01.2026
RT-000064;R-0050105;ST-001;SKU-00114;1;Qadoq shikastlangan;18.03.2026
RT-000065;R-0032870;ST-010;SKU-00441;1;Noto'g'ri tovar berilgan;14.01.2026
RT-000066;R-0048343;ST-010;SKU-00152;1;Xaridor fikri o'zgardi;01.03.2026
RT-000067;R-0050911;ST-009;SKU-00359;1;Noto'g'ri tovar berilgan;10.03.2026
RT-000068;R-0045782;ST-005;SKU-00454;1;Noto'g'ri tovar berilgan;05.03.2026
RT-000069;R-0042850;ST-007;SKU-00279;1;Muddati o'tgan;19.02.2026
RT-000070;R-0034679;ST-001;SKU-00396;1;;22.01.2026
RT-000071;R-0040003;ST-004;SKU-00472;1;Qadoq shikastlangan;02.02.2026
RT-000072;R-0045518;ST-007;SKU-00278;3;Kafolat holati;28.02.2026
RT-000073;R-0046492;ST-008;SKU-00185;1;Kafolat holati;25.02.2026
RT-000074;R-0044609;ST-003;SKU-00065;1;Xaridor fikri o'zgardi;26.02.2026
RT-000075;R-0042539;ST-010;SKU-00248;2;Qadoq shikastlangan;14.02.2026
RT-000076;R-0038629;ST-009;SKU-00377;1;Noto'g'ri tovar berilgan;06.02.2026
RT-000077;R-0030275;ST-012;SKU-00355;1;Muddati o'tgan;06.01.2026
RT-000078;R-0049410;ST-004;SKU-00367;2;Xaridor fikri o'zgardi;18.03.2026
RT-000079;R-0034833;ST-007;SKU-00227;1;Qadoq shikastlangan;23.01.2026
RT-000080;R-0047149;ST-007;SKU-00492;2;Muddati o'tgan;24.02.2026
RT-000081;R-0043094;ST-003;SKU-00175;2;Muddati o'tgan;01.03.2026
RT-000082;R-0032704;ST-003;SKU-00426;1;Qadoq shikastlangan;26.01.2026
RT-000083;R-0046270;ST-011;SKU-00111;1;Sifatsiz mahsulot;03.03.2026
RT-000084;R-0047825;ST-003;SKU-00023;2;Sifatsiz mahsulot;04.03.2026
RT-000085;R-0045123;ST-006;SKU-00268;1;Qadoq shikastlangan;24.02.2026
RT-000086;R-0043228;ST-009;SKU-00073;3;Xaridor fikri o'zgardi;14.02.2026
RT-000087;R-0032422;ST-005;SKU-00097;1;Muddati o'tgan;26.01.2026
RT-000088;R-0033305;ST-011;SKU-00153;1;Xaridor fikri o'zgardi;17.01.2026
RT-000089;R-0039921;ST-001;SKU-00197;1;Sifatsiz mahsulot;13.02.2026
RT-000090;R-0033373;ST-002;SKU-00094;1;Noto'g'ri tovar berilgan;31.01.2026
RT-000091;R-0034694;ST-002;SKU-00341;1;Qadoq shikastlangan;04.02.2026
RT-000092;R-0040123;ST-007;SKU-00403;3;Kafolat holati;01.02.2026
RT-000093;R-0034236;ST-006;SKU-00277;2;Xaridor fikri o'zgardi;29.01.2026
RT-000094;R-0045053;ST-004;SKU-00426;1;Muddati o'tgan;16.02.2026
RT-000095;R-0034098;ST-001;SKU-00358;2;Kafolat holati;31.01.2026
RT-000096;R-0033655;ST-010;SKU-00163;2;Xaridor fikri o'zgardi;13.01.2026
RT-000097;R-0045137;ST-006;SKU-00133;8;Kafolat holati;21.02.2026
RT-000098;R-0045914;ST-010;SKU-00254;1;;02.03.2026
RT-000099;R-0049578;ST-008;SKU-00248;1;Kafolat holati;07.03.2026
RT-000100;R-0033942;ST-008;SKU-00135;1;Qadoq shikastlangan;20.01.2026
RT-000101;R-0037892;ST-009;SKU-00468;3;Sifatsiz mahsulot;02.02.2026
RT-000102;R-0032552;ST-009;SKU-00181;2;Xaridor fikri o'zgardi;12.01.2026
RT-000103;R-0032649;ST-001;SKU-00327;1;Sifatsiz mahsulot;10.01.2026
RT-000104;R-0035244;ST-012;SKU-00450;1;Noto'g'ri tovar berilgan;18.01.2026
RT-000105;R-0033858;ST-005;SKU-00023;1;Xaridor fikri o'zgardi;24.01.2026
RT-000106;R-0040025;ST-004;SKU-00152;1;Sifatsiz mahsulot;31.01.2026
RT-000107;R-0036422;ST-003;SKU-00405;1;Xaridor fikri o'zgardi;03.02.2026
RT-000108;R-0036324;ST-011;SKU-00441;2;Muddati o'tgan;30.01.2026
RT-000109;R-0040866;ST-006;SKU-00313;1;Noto'g'ri tovar berilgan;06.02.2026
RT-000110;R-0031969;ST-011;SKU-00176;1;Noto'g'ri tovar berilgan;09.01.2026
RT-000111;R-0032192;ST-008;SKU-00493;1;Sifatsiz mahsulot;08.01.2026
RT-000112;R-0047625;;SKU-00088;1;Sifatsiz mahsulot;19.02.2026
RT-000113;R-0041650;ST-001;SKU-00057;1;Qadoq shikastlangan;17.02.2026
RT-000114;R-0042545;ST-010;SKU-00020;2;Noto'g'ri tovar berilgan;14.02.2026
RT-000115;R-0041847;ST-010;SKU-00452;1;Muddati o'tgan;05.02.2026
RT-000116;R-0052021;ST-001;SKU-00338;1;Sifatsiz mahsulot;23.03.2026
RT-000117;R-0033597;ST-008;SKU-00427;2;Muddati o'tgan;23.01.2026
RT-000118;R-0044726;ST-007;SKU-00303;1;Qadoq shikastlangan;25.02.2026
RT-000119;R-0043600;ST-012;SKU-00396;1;Kafolat holati;20.02.2026
RT-000120;R-0045884;ST-009;SKU-00382;6;Sifatsiz mahsulot;05.03.2026
RT-000121;R-0047004;ST-002;SKU-00203;1;Xaridor fikri o'zgardi;28.02.2026
RT-000122;R-0032950;ST-001;SKU-00211;1;Qadoq shikastlangan;30.01.2026
RT-000123;R-0050092;ST-001;SKU-00210;2;Muddati o'tgan;15.03.2026
RT-000124;R-0044976;ST-002;SKU-00448;1;Xaridor fikri o'zgardi;04.03.2026
RT-000125;R-0042367;ST-004;SKU-00210;1;Muddati o'tgan;23.02.2026
RT-000126;R-0049905;ST-007;SKU-00353;1;Xaridor fikri o'zgardi;08.03.2026
RT-000127;R-0030295;ST-001;SKU-00041;1;Xaridor fikri o'zgardi;28.12.2025
RT-000128;R-0037196;ST-008;SKU-00092;1;Muddati o'tgan;31.01.2026
RT-000129;R-0030503;ST-009;SKU-00235;4;Qadoq shikastlangan;19.01.2026
RT-000130;R-0048469;ST-003;SKU-00165;1;Kafolat holati;07.03.2026
RT-000131;R-0034504;ST-006;SKU-00170;2;Qadoq shikastlangan;22.01.2026
RT-000132;R-0032516;ST-008;SKU-00367;1;Sifatsiz mahsulot;16.01.2026
RT-000133;R-0048896;ST-007;SKU-00084;1;Sifatsiz mahsulot;28.02.2026
RT-000134;R-0040197;ST-010;SKU-00210;2;Sifatsiz mahsulot;02.02.2026
RT-000135;R-0042046;ST-006;SKU-00412;2;Qadoq shikastlangan;14.02.2026
RT-000136;R-0045556;;SKU-00367;2;Kafolat holati;23.02.2026
RT-000137;R-0050425;ST-002;SKU-00492;1;Noto'g'ri tovar berilgan;04.03.2026
RT-000138;R-0037201;ST-008;SKU-00437;2;Qadoq shikastlangan;22.01.2026
RT-000139;R-0051262;ST-011;SKU-00399;1;Kafolat holati;13.03.2026
RT-000140;R-0049543;ST-008;SKU-00051;1;Xaridor fikri o'zgardi;15.03.2026
RT-000141;R-0044838;ST-010;SKU-00230;1;Noto'g'ri tovar berilgan;25.02.2026
RT-000142;R-0037994;ST-012;SKU-00271;1;Kafolat holati;03.02.2026
RT-000143;R-0050848;ST-006;SKU-00134;5;Noto'g'ri tovar berilgan;10.03.2026
RT-000144;R-0051870;ST-008;SKU-00318;4;Muddati o'tgan;14.03.2026
RT-000145;R-0033124;ST-006;SKU-00396;1;Muddati o'tgan;30.01.2026
RT-000146;R-0047426;ST-003;SKU-00233;1;Qadoq shikastlangan;10.03.2026
RT-000147;R-0034929;ST-011;SKU-00146;2;Noto'g'ri tovar berilgan;03.02.2026
RT-000148;R-0047768;ST-001;SKU-00039;2;Muddati o'tgan;10.03.2026
RT-000149;R-0043681;ST-003;SKU-00459;1;Xaridor fikri o'zgardi;23.02.2026
RT-000150;R-0047808;ST-002;SKU-00168;1;Sifatsiz mahsulot;06.03.2026
RT-000151;R-0046716;ST-004;SKU-00367;1;Qadoq shikastlangan;07.03.2026
RT-000152;R-0047150;ST-007;SKU-00417;3;Qadoq shikastlangan;26.02.2026
RT-000153;R-0030830;ST-007;SKU-00011;3;Noto'g'ri tovar berilgan;16.01.2026
RT-000154;R-0048865;ST-006;SKU-00007;1;Noto'g'ri tovar berilgan;11.03.2026
RT-000155;R-0048356;ST-010;SKU-00063;1;Sifatsiz mahsulot;11.03.2026
RT-000156;R-0042854;ST-007;SKU-00340;2;Noto'g'ri tovar berilgan;13.02.2026
RT-000157;R-0037006;ST-001;SKU-00180;1;Qadoq shikastlangan;25.01.2026
RT-000158;R-0038944;ST-010;SKU-00428;1;Sifatsiz mahsulot;29.01.2026
RT-000159;R-0044132;ST-009;SKU-00230;1;Noto'g'ri tovar berilgan;21.02.2026
RT-000160;R-0034958;ST-012;SKU-00297;1;Muddati o'tgan;28.01.2026
RT-000161;R-0050173;ST-004;SKU-00291;2;Muddati o'tgan;12.03.2026
RT-000162;R-0040195;ST-010;SKU-00074;1;Noto'g'ri tovar berilgan;08.02.2026
RT-000163;R-0043136;ST-005;SKU-00090;2;Qadoq shikastlangan;27.02.2026
RT-000164;R-0048168;ST-004;SKU-00408;1;Xaridor fikri o'zgardi;13.03.2026
RT-000165;R-0036655;ST-012;SKU-00054;1;Muddati o'tgan;21.01.2026
RT-000166;R-0035436;ST-005;SKU-00482;1;Kafolat holati;03.02.2026
RT-000167;R-0036403;ST-003;SKU-00346;4;Noto'g'ri tovar berilgan;04.02.2026
RT-000168;R-0042916;ST-009;SKU-00421;2;Sifatsiz mahsulot;20.02.2026
RT-000169;R-0035522;ST-008;SKU-00218;1;Muddati o'tgan;31.01.2026
RT-000170;R-0037869;ST-008;SKU-00107;3;Qadoq shikastlangan;09.02.2026
RT-000171;R-0040817;ST-004;SKU-00231;2;Noto'g'ri tovar berilgan;14.02.2026
RT-000172;R-0039005;ST-012;SKU-00339;1;Qadoq shikastlangan;07.02.2026
RT-000173;R-0033865;ST-005;SKU-00288;1;Qadoq shikastlangan;25.01.2026
RT-000174;R-0039694;ST-005;SKU-00342;1;Muddati o'tgan;13.02.2026
RT-000175;R-0043898;ST-012;SKU-00462;1;Noto'g'ri tovar berilgan;12.02.2026
RT-000176;R-0037455;ST-006;SKU-00257;1;Qadoq shikastlangan;23.01.2026
RT-000177;R-0038902;ST-008;SKU-00099;1;Muddati o'tgan;12.02.2026
RT-000178;R-0043876;ST-011;SKU-00110;1;Kafolat holati;23.02.2026
RT-000179;R-0032852;ST-009;SKU-00184;3;Sifatsiz mahsulot;17.01.2026
RT-000180;R-0051463;ST-007;SKU-00171;1;Noto'g'ri tovar berilgan;07.03.2026
RT-000181;R-0045153;ST-006;SKU-00371;3;Xaridor fikri o'zgardi;17.02.2026
RT-000182;R-0046581;ST-011;SKU-00201;1;Kafolat holati;25.02.2026
RT-000183;R-0044150;ST-010;SKU-00407;1;Kafolat holati;27.02.2026
RT-000184;R-0036185;ST-006;SKU-00346;2;Xaridor fikri o'zgardi;02.02.2026
RT-000185;R-0040595;ST-009;SKU-00224;1;Noto'g'ri tovar berilgan;03.02.2026
RT-000186;R-0037782;ST-006;SKU-00373;1;Muddati o'tgan;03.02.2026
RT-000187;R-0037729;ST-004;SKU-00134;1;Noto'g'ri tovar berilgan;31.01.2026
RT-000188;R-0039349;ST-003;SKU-00339;1;Qadoq shikastlangan;13.02.2026
RT-000189;R-0051780;ST-006;SKU-00446;3;Sifatsiz mahsulot;12.03.2026
RT-000190;R-0032173;ST-007;SKU-00482;2;Qadoq shikastlangan;07.01.2026
RT-000191;R-0030184;ST-008;SKU-00471;1;Muddati o'tgan;18.01.2026
RT-000192;R-0050309;ST-009;SKU-00178;1;Xaridor fikri o'zgardi;16.03.2026
RT-000193;R-0036833;ST-006;SKU-00167;8;Xaridor fikri o'zgardi;04.02.2026
RT-000194;R-0037149;ST-006;SKU-00285;1;Qadoq shikastlangan;31.01.2026
RT-000195;R-0050547;ST-006;SKU-00264;1;Qadoq shikastlangan;23.02.2026
RT-000196;R-0036739;ST-003;SKU-00212;1;Sifatsiz mahsulot;30.01.2026
RT-000197;R-0044017;ST-005;SKU-00295;2;Xaridor fikri o'zgardi;25.02.2026
RT-000198;R-0040412;ST-004;SKU-00437;2;Sifatsiz mahsulot;10.02.2026
RT-000199;R-0042618;ST-001;SKU-00260;1;Kafolat holati;22.02.2026
RT-000200;R-0036999;ST-001;SKU-00312;2;Xaridor fikri o'zgardi;27.01.2026
RT-000201;R-0048973;ST-011;SKU-00165;1;Kafolat holati;04.03.2026
RT-000202;R-0031684;ST-012;SKU-00008;1;Sifatsiz mahsulot;21.01.2026
RT-000203;R-0050201;ST-005;SKU-00165;1;Kafolat holati;19.03.2026
RT-000204;R-0050714;ST-001;SKU-00232;1;;02.03.2026
RT-000205;R-0044779;ST-008;SKU-00077;2;Muddati o'tgan;05.03.2026
RT-000206;R-0036578;ST-009;SKU-00488;2;Muddati o'tgan;31.01.2026
RT-000207;R-0035012;ST-002;SKU-00055;2;Muddati o'tgan;04.02.2026
RT-000208;R-0042749;ST-005;SKU-00150;3;Noto'g'ri tovar berilgan;24.02.2026
RT-000209;R-0032573;ST-010;SKU-00490;2;Xaridor fikri o'zgardi;19.01.2026
RT-000210;R-0037612;ST-001;SKU-00312;1;Xaridor fikri o'zgardi;06.02.2026
RT-000211;R-0033968;ST-008;SKU-00164;2;Noto'g'ri tovar berilgan;31.01.2026
RT-000212;R-0036308;ST-011;SKU-00348;1;Xaridor fikri o'zgardi;28.01.2026
RT-000213;R-0042015;ST-004;SKU-00340;2;Sifatsiz mahsulot;21.02.2026
RT-000214;R-0042889;ST-009;SKU-00120;8;Noto'g'ri tovar berilgan;25.02.2026
RT-000215;R-0033540;ST-006;SKU-00048;1;Qadoq shikastlangan;12.01.2026
RT-000216;R-0052015;ST-001;SKU-00469;2;Sifatsiz mahsulot;28.03.2026
RT-000217;R-0036651;ST-012;SKU-00371;1;Xaridor fikri o'zgardi;25.01.2026
RT-000218;R-0049818;ST-004;SKU-00389;1;Xaridor fikri o'zgardi;09.03.2026
RT-000219;R-0044418;ST-009;SKU-00373;4;Xaridor fikri o'zgardi;21.02.2026
RT-000220;R-0030659;ST-002;SKU-00475;1;Kafolat holati;21.01.2026
RT-000221;R-0050016;ST-010;SKU-00265;7;Xaridor fikri o'zgardi;18.03.2026
RT-000222;R-0032924;ST-012;SKU-00220;1;Xaridor fikri o'zgardi;09.01.2026
RT-000223;R-0045025;ST-003;SKU-00101;1;Qadoq shikastlangan;21.02.2026
RT-000224;R-0032979;ST-002;SKU-00017;1;Kafolat holati;16.01.2026
RT-000225;R-0040769;ST-003;SKU-00243;4;Muddati o'tgan;09.02.2026
RT-000226;R-0042216;ST-012;SKU-00310;1;Noto'g'ri tovar berilgan;11.02.2026
RT-000227;R-0041016;ST-012;SKU-00194;1;Sifatsiz mahsulot;16.02.2026
RT-000228;R-0042104;ST-008;SKU-00477;4;Sifatsiz mahsulot;23.02.2026
RT-000229;R-0035763;;SKU-00440;1;Xaridor fikri o'zgardi;18.01.2026
RT-000230;R-0050040;ST-011;SKU-00218;1;Muddati o'tgan;17.03.2026
RT-000231;R-0039790;ST-008;SKU-00175;1;Muddati o'tgan;15.02.2026
RT-000232;R-0049181;ST-007;SKU-00103;1;Noto'g'ri tovar berilgan;06.03.2026
RT-000233;R-0036110;ST-002;SKU-00425;2;Xaridor fikri o'zgardi;27.01.2026
RT-000234;R-0042395;ST-005;SKU-00379;1;Muddati o'tgan;09.02.2026
RT-000235;R-0035913;ST-008;SKU-00072;1;Noto'g'ri tovar berilgan;18.01.2026
RT-000236;R-0031091;ST-003;SKU-00324;4;Muddati o'tgan;17.01.2026
RT-000237;R-0038693;ST-011;SKU-00089;1;Noto'g'ri tovar berilgan;03.02.2026
RT-000238;R-0039554;ST-011;SKU-00343;1;Qadoq shikastlangan;14.02.2026
RT-000239;R-0042897;ST-009;SKU-00442;1;Sifatsiz mahsulot;28.02.2026
RT-000240;R-0031846;ST-006;SKU-00003;1;Kafolat holati;14.01.2026
RT-000241;R-0051725;ST-004;SKU-00294;1;Xaridor fikri o'zgardi;20.03.2026
RT-000242;R-0032753;ST-005;SKU-00142;1;Qadoq shikastlangan;18.01.2026
RT-000243;R-0034326;ST-011;SKU-00361;1;Kafolat holati;21.01.2026
RT-000244;R-0041037;ST-001;SKU-00067;1;Muddati o'tgan;06.02.2026
RT-000245;R-0045913;ST-010;SKU-00240;1;Qadoq shikastlangan;06.03.2026
RT-000246;R-0046212;ST-009;SKU-00185;1;Sifatsiz mahsulot;09.03.2026
RT-000247;R-0039713;ST-005;SKU-00330;2;Muddati o'tgan;03.02.2026
RT-000248;R-0045200;ST-008;SKU-00487;1;Muddati o'tgan;02.03.2026
RT-000249;R-0031391;ST-012;SKU-00049;1;Sifatsiz mahsulot;23.01.2026
RT-000250;R-0040577;ST-009;SKU-00294;1;Kafolat holati;09.02.2026
RT-000251;R-0038741;ST-001;SKU-00407;1;Noto'g'ri tovar berilgan;05.02.2026
RT-000252;R-9597561;ST-006;SKU-00424;2;Xaridor fikri o'zgardi;13.02.2026
RT-000253;R-0031268;ST-008;SKU-00224;1;Xaridor fikri o'zgardi;08.01.2026
RT-000254;R-0034069;ST-012;SKU-00412;1;Qadoq shikastlangan;12.01.2026
RT-000255;R-0040919;ST-009;SKU-00474;1;Xaridor fikri o'zgardi;02.02.2026
RT-000256;R-0036314;ST-011;SKU-00491;1;Kafolat holati;21.01.2026
RT-000257;R-0048928;ST-009;SKU-00404;1;Xaridor fikri o'zgardi;11.03.2026
RT-000258;R-0049909;ST-007;SKU-00170;1;Muddati o'tgan;02.03.2026
RT-000259;R-0038769;ST-002;SKU-00407;1;Muddati o'tgan;29.01.2026
RT-000260;R-0048192;ST-005;SKU-00395;5;Qadoq shikastlangan;10.03.2026
RT-000261;R-0031952;ST-010;SKU-00471;1;Noto'g'ri tovar berilgan;10.01.2026
RT-000262;R-0031152;ST-004;SKU-00474;1;Kafolat holati;22.01.2026
RT-000263;R-0038076;ST-002;SKU-00415;2;Noto'g'ri tovar berilgan;10.02.2026
RT-000264;R-0047273;ST-011;SKU-00086;2;Xaridor fikri o'zgardi;25.02.2026
RT-000265;R-0051774;ST-006;SKU-00486;1;Kafolat holati;16.03.2026
RT-000266;R-0039542;ST-010;SKU-00198;2;Muddati o'tgan;15.02.2026
RT-000267;R-0042126;ST-009;SKU-00003;1;Xaridor fikri o'zgardi;12.02.2026
RT-000268;R-0040202;ST-010;SKU-00278;1;Noto'g'ri tovar berilgan;12.02.2026
RT-000269;R-0033235;ST-009;SKU-00196;2;Kafolat holati;29.01.2026
RT-000270;R-0045584;ST-010;SKU-00064;1;Noto'g'ri tovar berilgan;01.03.2026
RT-000271;R-0039451;ST-006;SKU-00155;1;Qadoq shikastlangan;13.02.2026
RT-000272;R-0045355;ST-012;SKU-00005;3;Xaridor fikri o'zgardi;26.02.2026
RT-000273;R-9431552;ST-005;SKU-00318;3;Noto'g'ri tovar berilgan;23.02.2026
RT-000274;R-0041893;ST-011;SKU-00408;1;Noto'g'ri tovar berilgan;23.02.2026
RT-000275;R-0051273;ST-012;SKU-00288;1;Xaridor fikri o'zgardi;20.03.2026
RT-000276;R-0036743;ST-003;SKU-00257;1;Qadoq shikastlangan;27.01.2026
RT-000277;R-0041467;;SKU-00368;3;Noto'g'ri tovar berilgan;06.02.2026
RT-000278;R-0035074;ST-005;SKU-00475;1;;05.02.2026
RT-000279;R-0037324;ST-012;SKU-00301;7;Xaridor fikri o'zgardi;31.01.2026
RT-000280;R-0035643;ST-011;SKU-00439;2;Muddati o'tgan;02.02.2026
RT-000281;R-0032083;ST-003;SKU-00309;1;Kafolat holati;16.01.2026
RT-000282;R-0038800;ST-004;SKU-00343;1;Kafolat holati;06.02.2026
RT-000283;R-0032569;ST-010;SKU-00389;2;Qadoq shikastlangan;09.01.2026
RT-000284;R-0043090;ST-003;SKU-00147;3;Kafolat holati;04.02.2026
RT-000285;R-0033652;ST-010;SKU-00035;1;Muddati o'tgan;23.01.2026
RT-000286;R-0036978;ST-012;SKU-00287;2;Muddati o'tgan;07.02.2026
RT-000287;R-0051188;ST-008;SKU-00358;1;;07.03.2026
RT-000288;R-0051627;ST-002;SKU-00346;1;Xaridor fikri o'zgardi;21.03.2026
RT-000289;R-0044683;ST-005;SKU-00150;2;Noto'g'ri tovar berilgan;23.02.2026
RT-000290;R-0048777;ST-003;SKU-00464;2;Muddati o'tgan;11.03.2026
RT-000291;R-0042287;ST-002;SKU-00310;2;;13.02.2026
RT-000292;R-0046997;ST-002;SKU-00354;1;Noto'g'ri tovar berilgan;01.03.2026
RT-000293;R-0033355;ST-001;SKU-00031;1;Kafolat holati;27.01.2026
RT-000294;R-0042763;ST-005;SKU-00126;2;Kafolat holati;20.02.2026
RT-000295;R-0050099;ST-001;SKU-00461;1;Noto'g'ri tovar berilgan;13.03.2026
