receipt_no;store_code;cashier_id;sale_datetime;sku;qty;unit_price;discount_pct;payment_type
R-0031938;ST-010;E-0148;06.01.2026 20:49;SKU-00044;5;;;CASH
R-0032002;ST-012;E-0160;06.01.2026 12:34;SKU-00365;3;64200,00;;CASH
R-0031967;ST-011;E-0153;06.01.2026 12:24;SKU-00445;1;37300,00;20;CARD
R-0031813;ST-005;E-0125;06.01.2026 11:31;SKU-00087;1;90700,00;;CASH
R-0031775;ST-004;E-0120;06.01.2026 19:55;SKU-00155;3;59400,00;;CASH
R-0031770;ST-004;E-0119;2026-01-06 20:10:35;SKU-00232;2;142200,00;15;CASH
R-0031788;ST-004;E-0118;06.01.2026 17:30;SKU-00017;1;164600,00;20;CASH
R-0031921;ST-009;E-0145;2026-01-06 16:40:16;SKU-00259;1;;15;CARD
R-0031761;ST-003;E-0115;06.01.2026 19:39;SKU-00444;4;81200,00;;CASH
R-0031719;ST-002;E-0110;06.01.2026 10:50;SKU-00194;1;33900.00;;CASH
R-0031771;ST-004;E-0118;06.01.2026 15:48;SKU-00009;1;55300,00;15;CASH
R-0031830;ST-006;E-0128;2026-01-06 18:19:43;SKU-00365;1;64200,00;10;CASH
R-0031867;ST-007;E-0135;2026-01-06 15:50:26;SKU-00445;2;37300,00;;CARD
R-0031901;ST-008;E-0140;2026-01-06 19:59:59;SKU-00343;2;40300,00;20;CASH
R-0031905;ST-008;E-0138;2026-01-06 17:28:33;SKU-00226;1;167200,00;;CARD
R-0031940;ST-010;E-0150;06.01.2026 11:55; sku-00403 ;2;89500,00;;CASH
R-0031835;ST-006;E-0129;06.01.2026 20:20; sku-00304 ;1;;5;CASH
R-0031876;ST-007;E-0135;06.01.2026 13:53;SKU-00016;8;164600,00;;CARD
R-0031747;ST-003;E-0113;06.01.2026 12:48;SKU-00461;2;142600,00;;CASH
R-0031778;ST-004;E-0120;06.01.2026 09:55;SKU-00461;1;142600,00;5;CARD
R-0031845;ST-006;E-0129;06.01.2026 19:38;SKU-00276;1;34300,00;15;CARD
R-0031794;ST-004;E-0118;06.01.2026 18:33;SKU-00212;4;;15;TRANSFER
R-0031897;ST-008;E-0140;06.01.2026 10:37;SKU-00122;4;66600,00;0;TRANSFER
R-0031737;ST-002;E-0108;06.01.2026 16:44;SKU-00206;1;16700,00;20;CARD
R-0031875;ST-007;E-0133;2026-01-06 17:43:40;SKU-00229;3;152600,00;5;TRANSFER
R-0031736;ST-002;E-0108;06.01.2026 10:31;SKU-00252;1;119300,00;;CASH
R-0031828;ST-006;E-0128;2026-01-06 18:21:49;SKU-00406;1;10200,00;;CARD
R-0031742;ST-003;E-0114;06.01.2026 12:12;SKU-00042;1;;;CASH
R-0031812;ST-005;E-0125;06.01.2026 16:53;SKU-00020;1;94400,00;5;CASH
R-0031959;ST-010;E-0149;06.01.2026 09:13;SKU-00251;1;;;CARD
R-0031756;ST-003;E-0114;06.01.2026 14:19;SKU-00281;1;39500,00;10;CARD
R-0031887;ST-008;E-0140;06.01.2026 15:35;SKU-00206;1;16700,00;0;CASH
R-0031715;ST-002;E-0108;06.01.2026 17:14;SKU-00350;2;13800,00;5;CASH
R-0031697;ST-001;E-0104;06.01.2026 11:29;SKU-00496;1;97800,00;;CARD
R-0031904;ST-008;E-0139;06.01.2026 14:44;SKU-00253;0;38300,00;;CASH
R-0031876;ST-007;E-0135;2026-01-06 13:53:11;SKU-00065;1;27400,00;5;CARD
R-0031888;ST-008;E-0140;06.01.2026 11:05;SKU-00341;1;101120,00;0;CASH
R-0031911;ST-009;E-0144;2026-01-06 20:33:35;SKU-00045;1;44100,00;0;CARD
R-0031725;ST-002;E-0110;06.01.2026 09:08;SKU-00097;1;;;CASH
R-0031816;ST-005;E-0123;2026-01-06 12:17:51;SKU-00495;2;36800,00;10;CASH
R-0032004;ST-012;E-0158;06.01.2026 12:37;SKU-00245;2;102000,00;;CARD
R-0031971;ST-011;E-0155;06.01.2026 17:13;SKU-00119;1;93600,00;0;CASH
R-0031993;ST-012;E-0159;06.01.2026 16:33;SKU-00347;1;27500,00;;TRANSFER
R-0031763;ST-003;E-0114;2026-01-06 18:48:56;SKU-00372;2;17500,00;;CASH
R-0031814;ST-005;E-0125;06.01.2026 15:16;SKU-00204;2;7800,00;;CARD
