receipt_no;store_code;cashier_id;sale_datetime_raw;sku;qty_raw;unit_price_raw;discount_raw;payment_type
REC-20260731-STORE_01-0001;STORE_01;CASH-05;2026-07-31 12:02:18;SKU-021;3;5000;0;CASH
REC-20260731-STORE_01-0002;STORE_01;CASH-03;2026-07-31 10:51:36;SKU-019;4;25000;1000;CARD
REC-20260731-STORE_01-0002;STORE_01;CASH-01;2026-07-31 10:51:36;SKU-001;2;45000;500;CARD
REC-20260731-STORE_01-0002;STORE_01;CASH-03;2026-07-31 10:51:36;SKU-033;1;5000;0;CARD
REC-20260731-STORE_01-0002;STORE_01;CASH-01;2026-07-31 10:51:36;SKU-002;3;12000;0;CARD
REC-20260731-STORE_01-0002;STORE_01;CASH-09;2026-07-31 10:51:36;SKU-002;4;12000;0;CARD
REC-20260731-STORE_01-0003;STORE_01;CASH-08;2026-07-31 11:27:07;SKU-002;2;12000;0;CARD
REC-20260731-STORE_01-0003;STORE_01;CASH-04;2026-07-31 11:27:07;SKU-019;2;25000;1000;CASH
REC-20260731-STORE_01-0003;STORE_01;CASH-01;2026-07-31 11:27:07;SKU-003;2;45000;1000;CARD
REC-20260731-STORE_01-0003;STORE_01;CASH-02;2026-07-31 11:27:07;SKU-009;3;25000;500;CASH
REC-20260731-STORE_01-0003;STORE_01;CASH-10;2026-07-31 11:27:07;SKU-002;3;12000;0;CARD
REC-20260731-STORE_01-0004;STORE_01;CASH-10;2026-07-31 11:47:37;SKU-001;4;45000;0;CASH
REC-20260731-STORE_01-0005;STORE_01;CASH-07;2026-07-31 15:50:47;SKU-001;1;45000;0;CASH
REC-20260731-STORE_01-0005;STORE_01;CASH-07;2026-07-31 15:50:47;SKU-001;1;45000;0;CARD
REC-20260731-STORE_01-0005;STORE_01;CASH-01;2026-07-31 15:50:47;SKU-001;3;45000;0;CASH
REC-20260731-STORE_01-0006;STORE_01;CASH-03;2026-07-31 11:59:41;SKU-001;3;45000;1000;CARD
REC-20260731-STORE_01-0006;STORE_01;CASH-09;2026-07-31 11:59:41;SKU-019;1;25000;500;CASH
REC-20260731-STORE_01-0007;STORE_01;CASH-06;2026-07-31 12:18:13;SKU-001;1;45000;0;CARD
REC-20260731-STORE_01-0008;STORE_01;CASH-06;2026-07-31 19:28:27;SKU-006;4;45000;0;CASH
REC-20260731-STORE_01-0008;STORE_01;CASH-06;2026-07-31 19:28:27;SKU-014;3;5000;0;CARD
REC-20260731-STORE_01-0009;STORE_01;CASH-01;2026-07-31 9:52:43;SKU-001;4;45000;0;CARD
REC-20260731-STORE_01-0009;STORE_01;CASH-08;2026-07-31 9:52:43;SKU-006;2;45000;500;CASH
REC-20260731-STORE_01-0009;STORE_01;CASH-10;2026-07-31 9:52:43;SKU-016;1;25000;500;CARD
REC-20260731-STORE_01-0009;STORE_01;CASH-06;2026-07-31 9:52:43;SKU-010;1;25000;1000;CARD
REC-20260731-STORE_01-0010;STORE_01;CASH-06;2026-07-31 20:21:25;SKU-010;2;25000;1000;CARD
REC-20260731-STORE_01-0010;STORE_01;CASH-10;2026-07-31 20:21:25;SKU-012;3;45000;0;CARD
REC-20260731-STORE_01-0011;STORE_01;CASH-07;2026-07-31 10:16:16;SKU-002;2;12000;1000;CASH
REC-20260731-STORE_01-0011;STORE_01;CASH-10;2026-07-31 10:16:16;SKU-001;1;45000;0;CASH
REC-20260731-STORE_01-0011;STORE_01;CASH-03;2026-07-31 10:16:16;SKU-003;2;45000;500;CARD
REC-20260731-STORE_01-0012;STORE_01;CASH-10;2026-07-31 13:12:43;SKU-006;3;45000;0;CARD
REC-20260731-STORE_01-0013;STORE_01;CASH-01;2026-07-31 10:40:27;SKU-001;3;45000;500;CARD
