receipt_no;store_code;cashier_id;sale_datetime_raw;sku;qty_raw;unit_price_raw;discount_raw;payment_type
REC-20260818-STORE_01-0001;STORE_01;CASH-06;2026-08-18 11:42:43;SKU-015;4;5000;0;CASH
REC-20260818-STORE_01-0002;STORE_01;CASH-09;2026-08-18 20:34:24;SKU-001;2;45000;0;CARD
REC-20260818-STORE_01-0002;STORE_01;CASH-05;2026-08-18 20:34:24;SKU-015;3;5000;0;CARD
REC-20260818-STORE_01-0002;STORE_01;CASH-09;2026-08-18 20:34:24;SKU-002;1;12000;1000;CARD
REC-20260818-STORE_01-0002;STORE_01;CASH-04;2026-08-18 20:34:24;SKU-004;1;25000;0;CASH
REC-20260818-STORE_01-0003;STORE_01;CASH-08;2026-08-18 12:27:11;SKU-002;1;12000;0;CASH
REC-20260818-STORE_01-0004;STORE_01;CASH-09;2026-08-18 20:55:35;SKU-001;2;45000;500;CARD
REC-20260818-STORE_01-0005;STORE_01;CASH-08;2026-08-18 19:52:36;SKU-007;2;12000;0;CARD
REC-20260818-STORE_01-0005;STORE_01;CASH-08;2026-08-18 19:52:36;SKU-018;2;5000;500;CASH
REC-20260818-STORE_01-0005;STORE_01;CASH-09;2026-08-18 19:52:36;SKU-023;1;45000;500;CASH
REC-20260818-STORE_01-0005;STORE_01;CASH-02;2026-08-18 19:52:36;SKU-003;3;45000;1000;CASH
REC-20260818-STORE_01-0005;STORE_01;CASH-04;2026-08-18 19:52:36;SKU-025;2;5000;500;CARD
REC-20260818-STORE_01-0006;STORE_01;CASH-09;2026-08-18 21:26:24;SKU-001;3;45000;500;CARD
REC-20260818-STORE_01-0006;STORE_01;CASH-01;2026-08-18 21:26:24;SKU-011;3;5000;0;CASH
REC-20260818-STORE_01-0007;STORE_01;CASH-02;2026-08-18 9:17:03;SKU-019;4;25000;0;CARD
REC-20260818-STORE_01-0008;STORE_01;CASH-02;2026-08-18 11:03:53;SKU-004;3;25000;0;CARD
REC-20260818-STORE_01-0008;STORE_01;CASH-08;2026-08-18 11:03:53;SKU-011;2;5000;0;CASH
REC-20260818-STORE_01-0008;STORE_01;CASH-01;2026-08-18 11:03:53;SKU-003;4;45000;500;CARD
REC-20260818-STORE_01-0008;STORE_01;CASH-05;2026-08-18 11:03:53;SKU-010;3;25000;500;CARD
REC-20260818-STORE_01-0008;STORE_01;CASH-03;2026-08-18 11:03:53;SKU-009;4;25000;0;CARD
REC-20260818-STORE_01-0009;STORE_01;CASH-05;2026-08-18 21:49:43;SKU-030;2;45000;0;CASH
REC-20260818-STORE_01-0009;STORE_01;CASH-02;2026-08-18 21:49:43;SKU-005;3;5000;1000;CASH
REC-20260818-STORE_01-0009;STORE_01;CASH-02;2026-08-18 21:49:43;SKU-009;3;25000;0;CARD
REC-20260818-STORE_01-0010;STORE_01;CASH-03;2026-08-18 21:59:43;SKU-003;1;45000;500;CARD
REC-20260818-STORE_01-0011;STORE_01;CASH-09;2026-08-18 17:24:56;SKU-004;1;25000;500;CARD
REC-20260818-STORE_01-0011;STORE_01;CASH-08;2026-08-18 17:24:56;SKU-006;1;45000;1000;CARD
REC-20260818-STORE_01-0011;STORE_01;CASH-03;2026-08-18 17:24:56;SKU-010;3;25000;500;CARD
REC-20260818-STORE_01-0011;STORE_01;CASH-01;2026-08-18 17:24:56;SKU-013;4;12000;0;CARD
REC-20260818-STORE_01-0011;STORE_01;CASH-05;2026-08-18 17:24:56;SKU-001;4;45000;1000;CARD
REC-20260818-STORE_01-0012;STORE_01;CASH-08;2026-08-18 9:18:56;SKU-027;2;5000;1000;CARD
REC-20260818-STORE_01-0012;STORE_01;CASH-01;2026-08-18 9:18:56;SKU-002;1;12000;0;CARD
REC-20260818-STORE_01-0012;STORE_01;CASH-08;2026-08-18 9:18:56;SKU-008;2;12000;500;CASH
